A Tale of Two Sisters,2003,R,13 Jun 2003,114 min,"Drama, Horror, Mystery",Kim Jee-woon,Kim Jee-woon,"Lim Soo-jung, Yum Jung-ah, Kim Kap-su",Korean,"After being institutionalized in a mental hospital, Su-mi reunites with her sister, Su-yeon, and they return to live at their country home. But strange events plague the house, leading to surprising revelations and a shocking conc...",https://www.youtube.com/watch?v=4YmCIp4qlGg
Space Cadet,2024,PG-13,04 Jul 2024,110 min,Comedy,Liz W. Garcia,Liz W. Garcia,"Emma Roberts, Tom Hopper, Poppy Liu","English, Russian","Rex, a Florida party girl, turns out to be the only hope for the NASA space program after a fluke puts her in training with other candidates who may have better resumés, but don't have her smarts, heart, and moxie.",https://www.youtube.com/watch?v=6wL3evhiN5k
Grammy Greats: The Most Memorable Moments,2024,N/A,29 Dec 2024,N/A,Music,N/A,N/A,N/A,English,N/A,https://www.youtube.com/watch?v=l6TenpF22KQ
Getting Lost,2024,N/A,15 Oct 2024,N/A,Documentary,Taylor Morden,N/A,"J.J. Abrams, Sterling Beaumon, Jack Bender",English,"A documentary revisiting the global television phenomenon LOST. Featuring interviews with the cast and crew, as well as members of the loyal fan base who still celebrate the show twenty years after it originally aired.",https://www.youtube.com/watch?v=MM7Lv_uV7mM
Salawahan,2024,N/A,02 Feb 2024,116 min,"Drama, Mystery, Thriller",Jeffrey Hidalgo,Raquel Villavicencio,"Angeli Khang, Albie Casiño, Sheila Snow","Tagalog, Filipino","Melaine can't get enough with the two men in her life. When a new man arrives, she gives in to temptation.",https://www.youtube.com/watch?v=kvtix5KfnWI
The Hunted,2003,R,14 Mar 2003,94 min,"Action, Crime, Drama",William Friedkin,"David Griffiths, Peter Griffiths, Art Monterastelli","Tommy Lee Jones, Benicio Del Toro, Connie Nielsen","English, Serbo-Croatian",An FBI deep-woods tracker attempts to capture a trained assassin who has made a sport of hunting humans.,https://www.youtube.com/watch?v=Xeih_2WtK48
Salawahan,2024,N/A,02 Feb 2024,116 min,"Drama, Mystery, Thriller",Jeffrey Hidalgo,Raquel Villavicencio,"Angeli Khang, Albie Casiño, Sheila Snow","Tagalog, Filipino","Melaine can't get enough with the two men in her life. When a new man arrives, she gives in to temptation.",https://www.youtube.com/watch?v=kvtix5KfnWI
The Hunted,2003,R,14 Mar 2003,94 min,"Action, Crime, Drama",William Friedkin,"David Griffiths, Peter Griffiths, Art Monterastelli","Tommy Lee Jones, Benicio Del Toro, Connie Nielsen","English, Serbo-Croatian",An FBI deep-woods tracker attempts to capture a trained assassin who has made a sport of hunting humans.,https://www.youtube.com/watch?v=Xeih_2WtK48
Breaking the Silence: The Maria Soledad Case,2024,N/A,10 Oct 2024,95 min,"Documentary, Crime",Lorena Muñoz,N/A,Eduardo De Los Reyes,Spanish,"In '90s Argentina, the murder of a high school student sparks widespread protests. Retold by her loved ones, this documentary shows their fight for justice.",https://www.youtube.com/watch?v=J4y0Q-iaEoY
Es por su bien,2024,N/A,21 Jun 2024,N/A,Comedy,Alfonso Pineda Ulloa,"Juan Carlos Garzón, Manuel Burque, Josep Gatell","Consuelo Duval, Kate del Castillo, Mónica Huarte",Spanish,"In total disapproval of their daughters-in-law, the three sisters-in-law, Clara, Matis and Nena unite to get rid of them for the sake of their children.",https://www.youtube.com/watch?v=3xWZv7H909Q
The Diary,2024,N/A,04 Oct 2024,82 min,Thriller,"Emma Bertrán, Alba Gil","Emma Bertrán, Pamela Pons","Irene Azuela, Mauricio Ochmann, Isabella Arroyo",Spanish,"Where Olga discovers the unfinished diary of a known killer and becomes fascinated by its dark secrets. As she delves into its contents, she uncovers a mysterious connection between them, putting her life and others in grave danger.",https://www.youtube.com/watch?v=RYmmL3QLQEA
Panda Plan,2024,N/A,18 Oct 2024,99 min,"Action, Adventure, Comedy",Luan Zhang,"Wei Xu, Meng Yida, Luan Zhang","Jackie Chan, Xiang Wei, Ce Shi",Mandarin,International action superstar Jackie Chan is involved in a rescue operation of a beloved zoo panda named Hu Hu.,https://www.youtube.com/watch?v=ksls6lIiSPg
Yokelish Yeggs,2024,N/A,28 Dec 2024,80 min,Comedy,Cole Christian,"Brett Christian, Cole Christian, Trey Warren","Matt Farley, Trey Warren, Kaeli Christian",English,Two reformed burglars attempt one last heist in a last ditch effort to satisfy the greed of their evil boss.,https://www.youtube.com/watch?v=Kve8-Yknu1s
Killer Babes,2024,N/A,05 Sep 2024,94 min,"Comedy, Crime, Thriller",Magaby García,"El Huevo Charlie Barrientos, Mauricio Barrientos, Aldeni Fraga","Itatí Cantoral, Alicia Machado, Patricia Manterola",Spanish,"Three girlfriends, neglected and mistreated by their husbands, plan to take revenge on them with the help of an experienced man in this type of job.",https://www.youtube.com/watch?v=M0txiCvPHmU
Elton John: Never Too Late,2024,PG-13,13 Dec 2024,102 min,"Documentary, Biography, Music","R.J. Cutler, David Furnish",N/A,Elton John,English,"It showcases a never-before-seen concert footage of him over the past 50 years, as well as hand-written journals and present-day footage of him and his family.",https://www.youtube.com/watch?v=fQGf_nJ1E9w
Life After Fighting,2024,N/A,07 Jun 2024,126 min,"Action, Drama, Thriller",Bren Foster,Bren Foster,"Bren Foster, Cassie Howarth, Luke Ford",English,"A martial arts instructor is confronted with the disappearance of two of his students, leading him into a direct confrontation with a group of international child traffickers.",https://www.youtube.com/watch?v=KMdiYlC_cA8
Maybe Baby 2,2024,TV-MA,21 Nov 2024,105 min,Comedy,Barbara Topsøe-Rothenborg,"Pia Konstantin Berg, Line Mørkeby, Barbara Topsøe-Rothenborg","Mille Dinesen, Lars Ranthe, Katinka Lærke Petersen",Danish,Two couples discover their kids aren't swapped at the fertility clinic. They decide to cohabitate and jointly raise their respective biological children despite the initial mix-up.,https://www.youtube.com/watch?v=HeyEXfQbBYU
Unsung Hero,2024,PG,26 Apr 2024,113 min,"Drama, Family","Richard L. Ramsey, Joel David Smallbone","Richard L. Ramsey, Joel David Smallbone","Daisy Betts, Joel David Smallbone, Kirrilee Berger",English,A mother's faith stands against all odds and inspires her husband and children to hold onto theirs. Based on a remarkable true story.,https://www.youtube.com/watch?v=UHyrHRNX9Rk
The Park Maniac,2024,N/A,18 Oct 2024,103 min,"Crime, Drama",Mauricio Eça,L.G. Bayão,"Silvero Pereira, Giovanna Grigio, Mariana Amâncio",Portuguese,"Based on a true story, an infamous serial killer, who assaulted and killed several women in the 90s, gets on a collision course with a young journalist eager for the truth and a career-changing article.",https://www.youtube.com/watch?v=3759uEJ17gE
And It Begins,2024,N/A,27 Dec 2024,30 min,"Short, Crime, Drama",Madison LLorente,"Miguel Garcia, Madison LLorente","Thomas Wesley Evans, Angelina Lewis, Tristan Hunter",English,"In the wake of their father's death, Capomandameto ANGUS: SILAS and ALESSIO course through up keeping their father's legacy and the end of their adolescence. SILAS' path though gets interrupted by a poised and curious ANTONELLA.",https://www.youtube.com/watch?v=NQwDGFjGU7s
Bagheera,2024,N/A,31 Oct 2024,158 min,Action,D.R. Suri,"Prashanth Neel, Soori","Sri Murali, Rukmini Vasanth, Prakash Raj",Kannada,"When society turns into a jungle, just one predator cries out for justice.",https://www.youtube.com/watch?v=4BQ9kEuyULs
Bonhoeffer: Pastor. Spy. Assassin.,2024,PG-13,22 Nov 2024,132 min,"Drama, Thriller",Todd Komarnicki,Todd Komarnicki,"Jonas Dassler, Phileas Heyblom, August Diehl",English,"As the world teeters on the brink of annihilation, Dietrich Bonhoeffer joins a deadly plot to assassinate Hitler, risking his faith and fate to save millions of Jews from genocide.",https://www.youtube.com/watch?v=WZM90izJ8sI
